filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_loose_mu14,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28325,250428,8.841235657546337
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_medium_iloose_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),29119,251156,8.625158831003812
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_medium_tau25_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28866,250960,8.693965218596272
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e17_medium_tau80_medium1_tracktwo,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28866,250960,8.693965218596272
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e200_etcut,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28211,250316,8.872992804225301
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e20_lhvloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28336,250372,8.835827216261999
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e20_lhvloose_nod0,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28370,250512,8.830172717659499
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_L1EM20VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_L1EM20VHI_mu8noL1,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28780,250876,8.717025712300208
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_iloose_L1EM20VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28812,250820,8.705400527557963
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_nod0_L1EM20VHI_mu8noL1,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28919,251016,8.679968187005084
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_nod0_iloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28625,250708,8.75835807860262
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_nod0_iloose_L1EM20VH,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28866,250960,8.693965218596272
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_e24_lhmedium_nod0_ivarloose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28717,250792,8.733224222585925
