Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-largeRjet_eta,3,-1,1,0,1,22.4,16.4,2.5748567011241867,121599,313100,0.004229887557774929
SZ,5,mini-largeRjet_eta,3,-1,1,1,0,27.2,8,2.3927247716938598,130855,313100,0.0037716798551653305
SZ,5,mini-largeRjet_eta,3,-1,1,1,1,26.2,8,2.3927247716938598,130855,313100,0.0037716798551653305
SZ,5,mini-largeRjet_eta,3,-1,1,2,0,10.4,8.2,2.3927247716938598,130855,313100,0.0037716798551653305
SZ,5,mini-largeRjet_eta,3,-1,1,2,1,11.8,9.4,2.3446685188374756,133537,313100,0.0036551706062932826
SZ,5,mini-largeRjet_eta,3,-1,1,3,0,8.2,7,2.9498775202562655,106140,313100,0.004355821374116153
SZ,5,mini-largeRjet_eta,3,-1,1,3,1,8.2,7,2.9498775202562655,106140,313100,0.004355821374116153
SZ,5,mini-largeRjet_eta,3,-1,1,4,0,1,1.38555505885977e-310,1.0935851850816958,286306,313100,0
SZ,5,mini-largeRjet_eta,3,-1,1,4,1,1,1.3812439843276e-310,1.0935851850816958,286306,313100,0
Trunk,5,mini-largeRjet_phi,3,9,-1,-1,-1,77.2,1,1.7999735551633544,173947,313100,0.0001785286836131822
SZ,5,mini-largeRjet_phi,3,-1,1,0,0,22.6,16,2.5875605361894847,121002,313100,0.0067187000371967944
SZ,5,mini-largeRjet_phi,3,-1,1,0,1,23,16.6,2.5875605361894847,121002,313100,0.0067187000371967944
SZ,5,mini-largeRjet_phi,3,-1,1,1,0,25.8,7.2,2.635566255324164,118798,313100,0.0069673145360953734
SZ,5,mini-largeRjet_phi,3,-1,1,1,1,25,7.4,2.635566255324164,118798,313100,0.0069673145360953734
SZ,5,mini-largeRjet_phi,3,-1,1,2,0,10.4,8,2.3313824479888012,134298,313100,0.0046154221628767825
SZ,5,mini-largeRjet_phi,3,-1,1,2,1,11,8.6,2.2949834344855895,136428,313100,0.005007151613660499
SZ,5,mini-largeRjet_phi,3,-1,1,3,0,8,7.2,2.9580152671755724,105848,313100,0.00427390608837855
SZ,5,mini-largeRjet_phi,3,-1,1,3,1,7.8,7,2.9580152671755724,105848,313100,0.00427390608837855
SZ,5,mini-largeRjet_phi,3,-1,1,4,0,1.2,1.38849511129133e-310,1.084757272135146,288636,313100,0
SZ,5,mini-largeRjet_phi,3,-1,1,4,1,1,1.3839145359517e-310,1.084757272135146,288636,313100,0
Trunk,5,mini-largeRjet_E,3,9,-1,-1,-1,77.8,1,2.045322411011164,153081,313100,0.00017954783757229587
SZ,5,mini-largeRjet_E,3,-1,1,0,0,20,14.4,3.6601047414196204,85544,313100,0.0026025035471558687
SZ,5,mini-largeRjet_E,3,-1,1,0,1,19,14.2,3.6601047414196204,85544,313100,0.0026025035471558687
SZ,5,mini-largeRjet_E,3,-1,1,1,0,22.6,6.2,3.4458091213241766,90864,313100,0.002284210974309831
