Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-largeRjet_phi,3,-1,1,1,0,26.4,7.6,2.635566255324164,118798,313100
SZ,5,mini-largeRjet_phi,3,-1,1,1,1,28,7.2,2.635566255324164,118798,313100
SZ,5,mini-largeRjet_phi,3,-1,1,2,0,9.4,8.2,2.3313824479888012,134298,313100
SZ,5,mini-largeRjet_phi,3,-1,1,2,1,10,8.2,2.2949834344855895,136428,313100
SZ,5,mini-largeRjet_phi,3,-1,1,3,0,8,6.8,2.9580152671755724,105848,313100
SZ,5,mini-largeRjet_phi,3,-1,1,3,1,7.4,6.4,2.9580152671755724,105848,313100
SZ,5,mini-largeRjet_phi,3,-1,1,4,0,1.2,1.39059560385484e-310,1.084757272135146,288636,313100
SZ,5,mini-largeRjet_phi,3,-1,1,4,1,1,1.39063330856156e-310,1.084757272135146,288636,313100
Trunk,5,mini-largeRjet_E,3,9,-1,-1,-1,78.4,1,2.045322411011164,153081,313100
SZ,5,mini-largeRjet_E,3,-1,1,0,0,19,14,3.6601047414196204,85544,313100
SZ,5,mini-largeRjet_E,3,-1,1,0,1,19.2,14,3.6601047414196204,85544,313100
SZ,5,mini-largeRjet_E,3,-1,1,1,0,22.6,6,3.4458091213241766,90864,313100
SZ,5,mini-largeRjet_E,3,-1,1,1,1,21.8,6.6,3.4458091213241766,90864,313100
SZ,5,mini-largeRjet_E,3,-1,1,2,0,7.8,6.2,3.4458091213241766,90864,313100
SZ,5,mini-largeRjet_E,3,-1,1,2,1,8,7,3.4083363269216114,91863,313100
SZ,5,mini-largeRjet_E,3,-1,1,3,0,6.4,5,4.09988476848942,76368,313100
SZ,5,mini-largeRjet_E,3,-1,1,3,1,6.2,5,4.09988476848942,76368,313100
SZ,5,mini-largeRjet_E,3,-1,1,4,0,1,1.3905602239671e-310,1.1343298722565593,276022,313100
